Filename  Score  S*cd_c  Dc  L/D_c  LDc  Cm  Cmc  CL_max  CLs
goe567   6.35 0.0909    6  57.10    8 -0.8776    1 1.53    8 
goe508   6.35 0.0932    5  59.04    8 -0.7786    2 1.55    9 
mh120   6.30 0.0731    9  61.18    9 -0.6155    5 1.13    1 
goe449   6.30 0.0915    5  62.69    9 -0.8838    1 1.46    7 
e399   6.30 0.0926    5  57.47    8 -0.9546    1 1.57    9 
goe650   6.25 0.0843    7  56.36    7 -0.7730    2 1.49    8 
goe629   6.25 0.0762    9  60.20    8 -0.6681    4 1.30    3 
arad13   6.25 0.0849    7  46.94    5 -0.3422   10 1.66   10 
clarkv   6.20 0.0762    9  58.78    8 -0.7054    3 1.32    3 
usa40b   6.20 0.0898    6  50.11    6 -0.5520    6 1.74   10 
goe758   6.15 0.0855    7  55.59    7 -0.6491    4 1.48    7 
k3311   6.15 0.0727    9  59.40    8 -0.5800    6 1.26    2 
goe673   6.15 0.0702   10  58.67    8 -0.6075    5 1.09    1 
e639   6.15 0.0903    6  50.47    6 -0.4294    9 1.54    9 
e559   6.15 0.0926    5  53.47    7 -0.8216    2 1.64   10 
df101   6.10 0.0684   10  56.44    7 -0.4674    8 1.22    2 
goe693   6.10 0.0759    9  56.21    7 -0.6205    5 1.35    4 
goe548   6.10 0.0720   10  59.55    8 -0.6614    4 1.04    1 
goe190   6.10 0.0949    5  55.91    7 -0.8812    1 1.62   10 
defcnd3   6.10 0.0751    9  52.18    6 -0.3847    9 1.37    5 
rg8   6.05 0.0678   10  55.36    7 -0.5416    7 1.25    2 
lds2   6.05 0.0754    9  53.26    7 -0.4897    8 1.28    3 
goe329   6.05 0.0888    6  56.51    7 -0.6983    3 1.52    8 
defcnd2   6.05 0.0852    7  55.23    7 -0.5646    6 1.43    6 
hq3513   6.00 0.0829    7  53.23    7 -0.6260    5 1.43    6 
goe476   6.00 0.0891    6  59.89    8 -0.7913    2 1.42    6 
goe319   6.00 0.0944    5  51.60    6 -0.5459    7 1.71   10 
rg1410   5.95 0.0659   10  55.19    7 -0.4066    9 1.18    1 
goe797   5.95 0.0919    5  54.84    7 -0.8088    2 1.57    9 
e1210   5.95 0.0938    5  50.96    6 -0.5554    6 1.73   10 
goe504   5.95 0.0913    5  60.63    9 -0.8100    2 1.38    5 
goe627   5.90 0.0919    5  55.44    7 -0.5982    5 1.49    8 
mue139   5.85 0.0933    5  48.80    6 -0.4600    8 1.59    9 
e561   5.85 0.0978    4  55.46    7 -0.9203    1 1.77   10 
wb13535sm   5.75 0.0785    8  60.05    8 -0.6900    3 1.23    2 
mrc-16   5.70 0.0784    8  56.82    7 -0.5832    6 1.32    3 
goe550   5.70 0.0843    7  54.51    7 -0.7407    3 1.39    5 
e397   5.70 0.0933    5  56.38    7 -0.9674    1 1.49    8 
e193   5.70 0.0775    8  54.95    7 -0.5711    6 1.27    3 
goe534   5.70 0.0986    4  49.69    6 -0.5779    6 1.66   10 
hq2511   5.65 0.0744    9  51.65    6 -0.4892    8 1.27    3 
goe223   5.65 0.1025    4  54.95    7 -0.9387    1 1.57    9 
fx79w151a   5.65 0.0859    7  52.59    7 -0.5828    6 1.33    4 
n2414   5.60 0.0792    8  49.88    6 -0.4759    8 1.33    4 
m15   5.60 0.0813    8  50.98    6 -0.4582    8 1.34    4 
goe679   5.60 0.0964    5  52.58    6 -0.7088    3 1.55    9 
goe628   5.60 0.0974    4  51.48    6 -0.6620    4 1.72   10 
e638   5.60 0.0905    6  47.39    5 -0.3325   10 1.49    8 
goe632   5.55 0.0863    6  57.94    8 -0.6179    5 1.29    3 
fx83w108   5.55 0.0874    6  54.95    7 -0.8639    1 1.42    6 
e334   5.55 0.0873    6  50.69    6 -0.4076    9 1.42    6 
goe633   5.50 0.0866    6  52.49    6 -0.4670    8 1.43    6 
goe165   5.50 0.0963    5  56.61    7 -0.9143    1 1.47    7 
fx84w150   5.50 0.0908    6  52.67    7 -0.6805    4 1.39    5 
e557   5.50 0.0920    5  54.52    7 -0.8893    1 1.45    7 
e201   5.50 0.0794    8  53.08    7 -0.5881    6 1.24    2 
raf48   5.50 0.0851    7  53.69    7 -0.5445    7 1.27    3 
hq3012   5.50 0.0798    8  51.24    6 -0.5533    6 1.35    4 
goe604   5.50 0.0987    4  52.04    6 -0.5885    6 1.54    9 
goe288   5.50 0.1025    4  52.16    6 -0.8259    2 1.91   10 
rhodesg32   5.45 0.0915    5  55.23    7 -0.4681    8 1.39    5 
e339   5.45 0.0951    5  49.80    6 -0.4564    8 1.46    7 
ls413mod   5.45 0.0888    6  48.48    5 -0.5155    7 1.51    8 
e580   5.45 0.0976    4  53.42    7 -0.9048    1 1.54    8 
goe575   5.40 0.0915    5  54.21    7 -0.7053    3 1.41    6 
fx68h120   5.35 0.0765    9  49.41    6 -0.3265   10 1.12    1 
clarym18   5.35 0.0923    5  50.10    6 -0.5845    6 1.47    7 
s4233   5.35 0.0816    8  49.87    6 -0.5209    7 1.28    3 
goe404   5.35 0.1001    4  46.43    5 -0.5315    7 1.61   10 
hq3514   5.30 0.0902    6  49.65    6 -0.6450    4 1.44    6 
goe512   5.30 0.0936    5  46.71    5 -0.4343    9 1.52    8 
goe413   5.30 0.0973    4  50.95    6 -0.7546    2 1.56    9 
vr1   5.25 0.0731    9  52.18    6 -0.4526    8 1.04    1 
goe617   5.25 0.0829    7  55.35    7 -0.5535    6 1.25    2 
vr11x   5.25 0.0808    8  46.22    5 -0.3758    9 1.36    4 
rg15a213   5.25 0.0800    8  46.69    5 -0.4294    9 1.35    4 
goe535   5.25 0.1053    3  50.89    6 -0.7687    2 1.73   10 
goe433   5.25 0.1001    4  51.53    6 -0.8473    1 1.59    9 
goe298   5.25 0.0991    4  46.22    5 -0.6061    5 1.69   10 
vr7   5.20 0.0822    7  50.38    6 -0.4214    9 1.26    3 
fx84w140   5.20 0.0912    5  53.11    7 -0.7034    3 1.37    5 
fx84w127   5.20 0.0850    7  52.49    6 -0.6075    5 1.33    4 
e598   5.20 0.0904    6  43.23    4 -0.3220   10 1.49    8 
e558   5.20 0.0932    5  48.29    5 -0.6907    3 1.56    9 
raf38   5.15 0.0803    8  52.54    6 -0.5167    7 1.19    2 
raf31   5.15 0.0775    8  51.29    6 -0.5485    7 1.19    2 
goe645   5.15 0.0954    5  48.59    5 -0.5657    6 1.53    8 
e855   5.15 0.0934    5  50.37    6 -0.7655    2 1.45    7 
avistar   5.15 0.0840    7  46.63    5 -0.4692    8 1.36    5 
clarkyh   5.10 0.0810    8  52.26    6 -0.2872   10 1.19    1 
goe425   5.10 0.0971    4  47.06    5 -0.5867    6 1.58    9 
goe702   5.05 0.1018    4  41.37    4 -0.4054    9 1.63   10 
goe685   5.05 0.0916    5  49.58    6 -0.6735    4 1.42    6 
e853   5.05 0.0826    7  53.94    7 -0.7669    2 1.22    2 
e205   5.05 0.0791    8  49.79    6 -0.4308    9 1.19    1 
hq3013   5.05 0.0853    7  48.67    5 -0.5664    6 1.37    5 
e434   5.00 0.0935    5  54.19    7 -0.7346    3 1.33    4 
goe284   5.00 0.1049    3  45.73    5 -0.6116    5 1.70   10 
e854   5.00 0.0866    6  53.74    7 -0.7685    2 1.27    3 
e344   5.00 0.1019    4  48.31    5 -0.4730    8 1.50    8 
sm701   4.95 0.0980    4  48.00    5 -0.7289    3 1.58    9 
mh82   4.95 0.0923    5  39.55    3 -0.1557   10 1.63   10 
goe386   4.95 0.1054    3  48.45    5 -0.6661    4 1.70   10 
goe646   4.90 0.0991    4  48.84    6 -0.7707    2 1.48    7 
goe255   4.90 0.1028    4  48.75    6 -0.7557    2 1.47    7 
goe506   4.85 0.0923    5  50.62    6 -0.6435    4 1.36    5 
goe420   4.85 0.0963    5  47.02    5 -0.6800    4 1.45    7 
e343   4.85 0.1022    4  45.41    5 -0.3943    9 1.44    7 
c141e   4.85 0.0769    9  47.13    5 -0.4915    8 1.19    1 
c141d   4.85 0.0772    9  46.66    5 -0.4838    8 1.17    1 
e856   4.85 0.1050    3  46.57    5 -0.7716    2 1.61   10 
hq2512   4.80 0.0789    8  46.93    5 -0.4569    8 1.26    2 
e333   4.80 0.0887    6  46.69    5 -0.3216   10 1.35    4 
v43012   4.75 0.0932    5  44.97    4 -0.2805   10 1.46    7 
sg6050   4.75 0.0881    6  47.52    5 -0.5974    5 1.38    5 
s8055   4.75 0.0830    7  47.46    5 -0.4410    8 1.30    3 
e556   4.75 0.0933    5  50.16    6 -0.7986    2 1.39    5 
wb140   4.70 0.0886    6  52.06    6 -0.6528    4 1.30    3 
goe493   4.70 0.0864    6  50.35    6 -0.6681    4 1.28    3 
goe423   4.70 0.1035    4  49.49    6 -0.7842    2 1.41    6 
m685   4.70 0.0796    8  46.95    5 -0.3519   10 1.12    1 
e1211   4.65 0.1091    3  42.29    4 -0.5836    6 1.69   10 
usa45m   4.60 0.0854    7  46.05    5 -0.3681    9 1.25    2 
pt40   4.60 0.0934    5  42.59    4 -0.5132    7 1.46    7 
n2415   4.60 0.0852    7  45.18    4 -0.4390    9 1.33    4 
goe418   4.60 0.1018    4  44.36    4 -0.6341    4 1.54    9 
e207   4.60 0.0810    8  48.51    5 -0.4530    8 1.17    1 
usa45   4.60 0.0982    4  46.17    5 -0.4470    8 1.40    6 
usa48   4.55 0.0832    7  45.34    5 -0.4658    8 1.20    2 
psu-90-125wl   4.55 0.0844    7  45.68    5 -0.4911    8 1.25    2 
sg6051   4.55 0.0897    6  46.61    5 -0.6212    5 1.33    4 
hq3014   4.55 0.0913    5  45.34    5 -0.5557    6 1.37    5 
goe522   4.50 0.1142    3  42.57    4 -0.7179    3 1.61   10 
goe510   4.50 0.0974    4  47.17    5 -0.5918    6 1.42    6 
ms313   4.45 0.0928    5  41.17    3 -0.4609    8 1.50    8 
goe600   4.45 0.0809    8  44.86    4 -0.4369    9 1.24    2 
goe383   4.45 0.1089    3  45.25    4 -0.5646    6 1.58    9 
e857   4.45 0.1156    3  43.28    4 -0.7608    2 1.63   10 
e678   4.45 0.1025    4  46.71    5 -0.8848    1 1.48    7 
e329   4.45 0.0983    4  45.63    5 -0.3969    9 1.39    5 
cr1   4.45 0.0929    5  45.09    4 -0.6334    4 1.47    7 
vr5   4.40 0.0878    6  43.45    4 -0.3619   10 1.33    4 
tsagi12   4.40 0.0855    7  46.97    5 -0.3874    9 1.06    1 
m18   4.40 0.0889    6  44.25    4 -0.3631   10 1.35    4 
ls413   4.40 0.0983    4  44.64    4 -0.6425    4 1.49    8 
goe626   4.40 0.1073    3  47.74    5 -0.8444    1 1.52    8 
amsoil1   4.40 0.0841    7  42.92    4 -0.4294    9 1.32    3 
goe290   4.35 0.1011    4  43.85    4 -0.5368    7 1.47    7 
naca632615   4.35 0.0972    4  48.48    5 -0.7321    3 1.42    6 
n63412   4.35 0.0845    7  43.70    4 -0.4892    8 1.27    3 
ah93w145   4.30 0.0992    4  43.83    4 -0.5846    6 1.47    7 
e1230   4.30 0.1024    4  37.03    2 -0.3324   10 1.65   10 
mh201   4.20 0.0943    5  42.04    4 -0.5419    7 1.38    5 
e332   4.20 0.0905    6  42.24    4 -0.2302   10 1.28    3 
usa28   4.15 0.0896    6  45.97    5 -0.6185    5 1.23    2 
e748   4.15 0.1186    2  44.74    4 -0.8948    1 1.82   10 
goe481a   4.10 0.1067    3  42.85    4 -0.6954    3 1.52    8 
mh102   4.05 0.0966    4  38.35    3 -0.3701    9 1.44    7 
goe741   4.05 0.1145    3  37.93    3 -0.2995   10 1.49    8 
e342   4.05 0.1040    3  42.30    4 -0.3186   10 1.43    6 
e1233   4.05 0.1190    2  37.13    3 -0.5135    7 1.66   10 
e197   4.05 0.0879    6  47.63    5 -0.5490    7 1.19    1 
tempest2   4.00 0.0841    7  43.57    4 -0.4271    9 1.00    1 
mh18   4.00 0.0854    7  42.68    4 -0.3635    9 1.08    1 
fx61147   4.00 0.1029    4  44.59    4 -0.6694    4 1.44    6 
clarkys   4.00 0.0870    6  42.01    4 -0.2093   10 1.22    2 
rc12b3   3.95 0.0901    6  43.63    4 -0.3942    9 1.20    2 
fx63158   3.95 0.1116    3  42.01    4 -0.6574    4 1.47    7 
e555   3.95 0.0978    4  45.32    5 -0.7197    3 1.32    4 
c5d   3.95 0.0834    7  41.80    4 -0.4995    8 1.17    1 
c141c   3.95 0.0820    7  43.59    4 -0.4843    8 1.10    1 
l188tip   3.90 0.0935    5  42.95    4 -0.6219    5 1.34    4 
hq3015   3.90 0.0968    4  43.00    4 -0.5558    6 1.38    5 
e625   3.90 0.0974    4  43.27    4 -0.2553   10 1.35    4 
e432   3.90 0.1141    3  37.66    3 -0.5336    7 1.49    8 
atr72sm   3.85 0.1058    3  38.50    3 -0.3290   10 1.48    7 
goe513   3.85 0.1118    3  37.04    2 -0.3589   10 1.58    9 
raf34   3.80 0.0875    6  44.16    4 -0.3435   10 1.14    1 
hq3518   3.80 0.1119    3  39.66    3 -0.6208    5 1.52    8 
goe435   3.80 0.1296    2  40.04    3 -0.8248    2 1.66   10 
e203   3.80 0.0879    6  44.84    4 -0.5574    6 1.23    2 
e1212   3.80 0.1078    3  35.13    2 -0.3775    9 1.60    9 
naca633618   3.70 0.1092    3  41.42    4 -0.6888    3 1.41    6 
goe424   3.65 0.1259    2  37.59    3 -0.5441    7 1.53    8 
fx77w121   3.60 0.1113    3  38.19    3 -0.3864    9 1.41    6 
fx66s161   3.60 0.1114    3  38.86    3 -0.6041    5 1.46    7 
goe770   3.60 0.1215    2  31.15    2 -0.2527   10 1.56    9 
goe704   3.60 0.0888    6  40.61    3 -0.3121   10 1.21    2 
fx77w153   3.60 0.1245    2  32.54    2 -0.2888   10 1.55    9 
goe229   3.60 0.1167    3  48.39    5 -0.9381    1 1.34    4 
sc20712   3.55 0.0964    5  43.34    4 -0.5736    6 1.23    2 
e582   3.55 0.1136    3  41.26    4 -0.6557    4 1.36    5 
e553   3.55 0.1046    3  41.58    4 -0.6795    4 1.40    5 
e435   3.55 0.1213    2  41.79    4 -0.8722    1 1.47    7 
goe434   3.50 0.1341    1  40.45    3 -0.8841    1 1.68   10 
e336   3.50 0.1008    4  38.70    3 -0.2027   10 1.33    4 
geminism   3.45 0.0918    5  43.00    4 -0.4491    8 1.16    1 
eh3012   3.40 0.0900    6  40.79    3 -0.2137   10 1.19    1 
e584   3.40 0.1177    2  46.49    5 -0.7722    2 1.36    4 
e554   3.40 0.1146    3  36.74    2 -0.6025    5 1.50    8 
arad20   3.40 0.1210    2  30.51    1 -0.1520   10 1.67   10 
n0011sc   3.35 0.0899    6  41.26    3 -0.4365    9 0.96    1 
ls417mod   3.35 0.1331    2  28.90    1 -0.3875    9 1.65   10 
k1   3.35 0.0935    5  37.35    3 -0.5710    6 1.29    3 
hq300gd2   3.30 0.1294    2  32.75    2 -0.4931    8 1.50    8 
goe683   3.30 0.1210    2  38.38    3 -0.4781    8 1.42    6 
fx84w175   3.30 0.1169    3  34.72    2 -0.5373    7 1.45    7 
e328   3.30 0.1027    4  40.85    3 -0.3061   10 1.31    3 
sg6040   3.30 0.1012    4  40.70    3 -0.5872    6 1.35    4 
k3   3.25 0.1149    3  38.65    3 -0.7907    2 1.41    6 
nlf0215f   3.25 0.1234    2  38.54    3 -0.7174    3 1.46    7 
e585   3.25 0.1137    3  37.11    3 -0.5779    6 1.39    5 
e587   3.20 0.1276    2  38.04    3 -0.8153    2 1.44    7 
apex16   3.20 0.0943    5  39.01    3 -0.5394    7 1.22    2 
n63415   3.15 0.0999    4  38.74    3 -0.5188    7 1.32    3 
e220   3.15 0.0932    5  39.37    3 -0.3399   10 1.12    1 
ah80140   3.15 0.1231    2  32.97    2 -0.4038    9 1.48    7 
nlf416   3.10 0.1244    2  32.29    2 -0.4982    8 1.48    7 
e858   3.10 0.1280    2  37.79    3 -0.6722    4 1.43    6 
goe388   3.10 0.1218    2  36.85    2 -0.6803    4 1.53    8 
fxs02196   3.10 0.1170    3  40.93    3 -0.6934    3 1.39    5 
ah93157   3.10 0.1128    3  43.30    4 -0.7361    3 1.27    3 
s8037   3.00 0.1043    3  38.71    3 -0.3950    9 1.28    3 
naca651412   3.00 0.0959    5  38.39    3 -0.5188    7 1.17    1 
goe601   3.00 0.0972    4  38.25    3 -0.4719    8 1.23    2 
e593   3.00 0.1225    2  30.43    1 -0.2738   10 1.52    8 
e551   3.00 0.1099    3  37.73    3 -0.6232    5 1.34    4 
sc20612   2.95 0.0977    4  38.67    3 -0.5115    7 1.23    2 
ms317   2.95 0.1217    2  31.08    1 -0.4221    9 1.53    8 
fx66s171   2.95 0.1191    2  36.16    2 -0.5985    5 1.48    7 
