airfoil    clmax    cd0   cdc   clc   cm   m0   alpha0   alphaM
e553 1.399300 0.017480 0.015820 0.657800 -0.102800 0.098615 -4.670397 11.500000
e554 1.496700 0.017500 0.017270 0.634500 -0.090800 0.103686 -4.119454 12.000000
e555 1.322200 0.016360 0.014120 0.639900 -0.103900 0.070006 -7.140703 16.500000
e556 1.387400 0.016920 0.014280 0.716300 -0.122200 0.088613 -6.083434 13.000000
e557 1.454200 0.016430 0.014500 0.790600 -0.140200 0.090855 -6.701761 12.500000
e558 1.559500 0.013930 0.014210 0.686200 -0.105300 0.096580 -5.104991 13.000000
e559 1.641500 0.014540 0.014650 0.783400 -0.130000 0.095593 -6.195132 13.000000
e560 1.715200 0.015040 0.015060 0.873100 -0.153300 0.094773 -7.212507 13.000000
e561 1.771600 0.015040 0.015980 0.886200 -0.150400 0.094335 -7.394132 13.500000
e562 1.547600 0.013980 0.013570 0.773800 -0.132400 0.094771 -6.164908 12.500000
e580 1.538300 0.019280 0.015780 0.842900 -0.146300 0.096133 -6.768031 12.000000
e582 1.364700 0.022890 0.017180 0.708900 -0.099200 0.080540 -6.801838 13.000000
e583 1.411900 0.021430 0.019750 0.685900 -0.086500 0.089864 -5.632621 12.000000
e584 1.361600 0.021370 0.019100 0.887900 -0.125300 0.083041 -8.692260 12.500000
e585 1.387000 0.022160 0.016740 0.621300 -0.085100 0.090089 -4.896522 11.500000
e587 1.444600 0.018930 0.019670 0.748300 -0.125700 0.083853 -6.923915 13.000000
e591 1.939200 0.018520 0.015590 1.093900 -0.189500 0.079928 -11.686106 16.000000
e593 1.518700 0.019290 0.017900 0.544700 -0.040000 0.108770 -3.007798 12.000000
e598 1.487000 0.017060 0.013360 0.577500 -0.047600 0.107630 -3.365623 11.500000
e603 1.315500 0.021800 0.027130 0.470000 -0.045500 0.091136 -3.157144 12.000000
e604 1.332100 0.018970 0.022470 0.601700 -0.087700 0.070239 -6.566479 16.000000
e625 1.348600 0.013420 0.014230 0.615700 -0.037300 0.084667 -5.272047 16.000000
e635 1.310100 0.014720 0.013950 0.488000 -0.009400 0.110928 -2.399250 12.000000
e636 1.356200 0.015730 0.013500 0.484500 -0.025700 0.109550 -2.422638 12.000000
e638 1.491700 0.020180 0.013690 0.648800 -0.050300 0.101850 -4.370152 12.500000
e639 1.540300 0.034300 0.013930 0.703100 -0.066200 0.101229 -4.945668 12.500000
e642 1.240500 0.016410 0.018600 0.735100 -0.092500 0.115571 -4.360569 8.500000
e654 1.498200 0.019860 0.024400 0.610500 -0.103500 0.077200 -5.908031 15.000000
e655 1.389000 0.017110 0.023810 0.489400 -0.074500 0.073422 -4.665557 16.000000
e662 1.349900 0.025010 0.026600 0.372800 -0.055900 0.083859 -2.445567 15.000000
e664 1.189100 0.026160 0.027350 0.430100 -0.043900 0.060162 -5.149012 18.000000
e664ex 1.989700 0.020470 0.023560 1.853000 -0.400600 0.127000 -12.590551 4.000000
