Filename  Powerreq Sreq Wingspan
goe330 398.92 3.9885 2.8244 
goe358 371.25 3.7813 2.7500 
goe363 427.10 3.4935 2.6433 
goe365 436.91 3.2013 2.5303 
goe367 402.32 3.3374 2.5836 
goe383 417.81 3.1334 2.5034 
goe386 417.72 3.1334 2.5034 
goe387 456.36 3.0118 2.4543 
goe388 409.41 4.0022 2.8292 
goe389 393.18 3.4540 2.6283 
goe392 356.06 4.8812 3.1245 
goe398 410.39 3.2145 2.5355 
goe404 455.38 3.1112 2.4945 
goe406 387.54 3.7895 2.7530 
goe409 309.39 5.0406 3.1751 
goe410 337.01 4.2595 2.9187 
goe411 280.33 7.1426 3.7796 
goe412 406.82 3.2998 2.5690 
goe413 414.15 3.1454 2.5081 
goe414 346.47 4.2440 2.9134 
goe416a 311.16 4.9553 3.1481 
goe418 429.05 3.2653 2.5555 
goe420 386.91 3.4565 2.6293 
goe423 366.78 3.9021 2.7936 
goe424 418.04 3.1327 2.5031 
goe425 374.35 3.7094 2.7237 
goe426 388.01 3.9228 2.8010 
goe429 298.03 5.3254 3.2636 
goe430 404.90 3.2524 2.5505 
goe433 380.85 3.5590 2.6680 
goe434 417.12 3.1355 2.5042 
goe435 421.59 3.1209 2.4984 
goe436 374.64 3.7550 2.7404 
goe438 392.00 3.6374 2.6972 
goe449 421.20 3.1223 2.4989 
goe459 319.34 4.5984 3.0326 
goe460 291.48 6.1456 3.5059 
goe476 426.78 3.1043 2.4917 
goe477 410.53 3.3390 2.5842 
goe478 421.49 3.1216 2.4986 
goe479 390.59 3.2233 2.5390 
goe480 422.72 3.5162 2.6519 
goe481a 458.68 3.0557 2.4721 
goe493 391.31 3.3776 2.5991 
goe497 414.58 3.1440 2.5076 
goe498 412.18 3.1517 2.5107 
goe504 396.48 3.3438 2.5860 
goe505 412.26 3.2867 2.5639 
goe506 386.97 3.5437 2.6622 
goe508 424.21 3.1126 2.4950 
goe509 415.41 3.4404 2.6231 
goe510 420.37 3.6065 2.6857 
goe512 395.31 3.4396 2.6228 
goe513 411.87 3.1803 2.5220 
goe522 412.78 3.1496 2.5098 
goe527 419.76 3.1272 2.5009 
goe530 437.47 3.2479 2.5487 
goe532 445.73 3.0445 2.4676 
goe533 395.52 3.4320 2.6199 
goe534 414.73 3.1432 2.5073 
goe535 416.83 3.1362 2.5045 
goe546 371.97 3.7104 2.7241 
goe547 388.16 3.4848 2.6400 
goe548 330.35 4.4037 2.9677 
goe549 385.45 3.5554 2.6666 
goe550 350.34 4.0742 2.8545 
goe553 404.89 3.3470 2.5873 
goe567 367.77 3.7580 2.7415 
goe575 414.53 3.1440 2.5076 
goe584 411.53 3.2990 2.5687 
goe591 398.97 3.7905 2.7534 
goe593 369.38 3.7321 2.7321 
goe600 355.52 3.8371 2.7702 
goe601 388.17 3.4071 2.6104 
goe604 397.44 3.3272 2.5796 
goe611 396.45 3.9493 2.8104 
goe612 416.62 3.1369 2.5048 
goe613 363.39 4.4148 2.9715 
goe615 432.85 3.2300 2.5416 
goe617 393.11 3.2859 2.5636 
goe619 386.26 3.4582 2.6299 
goe620 418.39 3.1313 2.5025 
goe621 416.94 3.1362 2.5045 
goe623 353.20 3.9851 2.8232 
goe624 413.48 3.1882 2.5252 
goe626 399.73 3.3542 2.5900 
goe627 411.09 3.1553 2.5121 
goe628 411.91 3.1524 2.5109 
goe629 409.77 3.1595 2.5138 
goe632 349.34 4.2351 2.9104 
goe633 410.41 3.1574 2.5129 
goe645 409.11 3.1616 2.5146 
goe646 406.63 3.2181 2.5370 
goe647 407.05 3.2270 2.5405 
goe648 409.38 3.1609 2.5143 
goe650 402.56 3.2967 2.5678 
goe654 420.20 3.3996 2.6075 
goe655 400.05 3.2959 2.5675 
goe673 303.45 5.3375 3.2673 
goe675 428.05 3.1002 2.4901 
goe676 350.95 3.8752 2.7840 
