Filename  Score  S*cd_c  Dc  L/D_c  LDc  Cm  Cmc  WF  WFs
goe567   5.85 0.0909    6  57.10    8 -0.8776    1 1.59    3 
fx63145   5.85 0.0867    6  59.26    8 -0.7593    2 1.58    3 
naca651412   5.85 0.0959    5  38.39    3 -0.5188    7 1.22   10 
e555   5.85 0.0978    4  45.32    5 -0.7197    3 1.38    8 
e220   5.85 0.0932    5  39.37    3 -0.3399   10 1.17   10 
goe506   5.80 0.0923    5  50.62    6 -0.6435    4 1.42    6 
e556   5.80 0.0933    5  50.16    6 -0.7986    2 1.45    6 
e332   5.80 0.0905    6  42.24    4 -0.2302   10 1.34    8 
hq3013   5.75 0.0853    7  48.67    5 -0.5664    6 1.43    6 
avistar   5.75 0.0840    7  46.63    5 -0.4692    8 1.42    6 
goe704   5.70 0.0888    6  40.61    3 -0.3121   10 1.26    9 
goe533   5.70 0.0822    7  58.97    8 -0.6460    4 1.67    2 
goe532   5.70 0.0838    7  59.49    8 -0.6304    5 1.65    2 
n2415   5.65 0.0852    7  45.18    4 -0.4390    9 1.39    7 
mb253515sm   5.65 0.0991    4  40.22    3 -0.4207    9 1.16   10 
hq3514   5.65 0.0902    6  49.65    6 -0.6450    4 1.50    5 
goe633   5.65 0.0866    6  52.49    6 -0.4670    8 1.49    5 
e334   5.65 0.0873    6  50.69    6 -0.4076    9 1.49    5 
goe650   5.60 0.0843    7  56.36    7 -0.7730    2 1.56    3 
goe549   5.60 0.0859    7  55.72    7 -0.6547    4 1.58    3 
goe426   5.60 0.0827    7  55.78    7 -0.6457    4 1.58    3 
goe165   5.55 0.0963    5  56.61    7 -0.9143    1 1.53    4 
e557   5.55 0.0920    5  54.52    7 -0.8893    1 1.52    4 
sg6050   5.55 0.0881    6  47.52    5 -0.5974    5 1.44    6 
goe553   5.55 0.0819    8  59.07    8 -0.6352    4 1.68    1 
goe692   5.50 0.0898    6  58.33    8 -0.8383    1 1.65    2 
goe654   5.50 0.0861    6  57.69    8 -0.6144    5 1.62    2 
goe498   5.50 0.0903    6  60.22    8 -0.8640    1 1.61    2 
e562   5.50 0.0864    6  57.02    8 -0.8429    1 1.61    2 
e398   5.50 0.0884    6  59.83    8 -0.9271    1 1.65    2 
apex16   5.50 0.0943    5  39.01    3 -0.5394    7 1.28    9 
sd7062   5.45 0.0786    8  56.94    7 -0.5402    7 1.66    2 
n5h15   5.45 0.1077    3  39.06    3 -0.3966    9 1.21   10 
goe685   5.45 0.0916    5  49.58    6 -0.6735    4 1.48    5 
bambino6   5.45 0.1137    3  38.38    3 -0.5445    7 1.16   10 
vr5   5.45 0.0878    6  43.45    4 -0.3619   10 1.39    7 
m18   5.45 0.0889    6  44.25    4 -0.3631   10 1.41    7 
e664ex   5.45 0.1115    3  78.65   10 -1.8954    1 2.08    1 
goe329   5.40 0.0888    6  56.51    7 -0.6983    3 1.59    3 
hq3014   5.35 0.0913    5  45.34    5 -0.5557    6 1.43    6 
sc20612   5.30 0.0977    4  38.67    3 -0.5115    7 1.29    9 
goe601   5.30 0.0972    4  38.25    3 -0.4719    8 1.28    9 
goe527   5.30 0.0932    5  58.66    8 -0.7278    3 1.67    2 
goe508   5.30 0.0932    5  59.04    8 -0.7786    2 1.62    2 
goe229   5.30 0.1167    3  48.39    5 -0.9381    1 1.40    7 
e399   5.30 0.0926    5  57.47    8 -0.9546    1 1.64    2 
l188tip   5.25 0.0935    5  42.95    4 -0.6219    5 1.40    7 
goe648   5.25 0.0854    7  54.59    7 -0.5494    7 1.63    2 
goe423   5.25 0.1035    4  49.49    6 -0.7842    2 1.48    5 
ah80129   5.25 0.1208    2  38.88    3 -0.6839    3 1.21   10 
tempest1   5.20 0.1034    4  35.08    2 -0.3912    9 1.10   10 
goe627   5.20 0.0919    5  55.44    7 -0.5982    5 1.56    3 
e397   5.20 0.0933    5  56.38    7 -0.9674    1 1.56    3 
ah93157   5.20 0.1128    3  43.30    4 -0.7361    3 1.32    8 
k1   5.15 0.0935    5  37.35    3 -0.5710    6 1.34    8 
e329   5.15 0.0983    4  45.63    5 -0.3969    9 1.45    6 
goe321   5.10 0.0816    8  55.28    7 -0.4751    8 1.70    1 
e855   5.10 0.0934    5  50.37    6 -0.7655    2 1.51    4 
e584   5.10 0.1177    2  46.49    5 -0.7722    2 1.42    7 
e339   5.10 0.0951    5  49.80    6 -0.4564    8 1.52    4 
clarym18   5.10 0.0923    5  50.10    6 -0.5845    6 1.54    4 
august160   5.10 0.1159    3  40.90    3 -0.3789    9 1.25    9 
e625   5.05 0.0974    4  43.27    4 -0.2553   10 1.41    7 
e542   5.05 0.1430    1  40.29    3 -0.6741    4 1.17   10 
e580   5.00 0.0976    4  53.42    7 -0.9048    1 1.61    3 
n63415   4.95 0.0999    4  38.74    3 -0.5188    7 1.37    8 
e639   4.95 0.0903    6  50.47    6 -0.4294    9 1.61    3 
e328   4.95 0.1027    4  40.85    3 -0.3061   10 1.36    8 
e560   4.95 0.0925    5  57.97    8 -0.9414    1 1.79    1 
goe646   4.90 0.0991    4  48.84    6 -0.7707    2 1.54    4 
goe255   4.90 0.1028    4  48.75    6 -0.7557    2 1.53    4 
e642   4.90 0.1176    2  39.52    3 -0.5846    6 1.29    9 
mh201   4.90 0.0943    5  42.04    4 -0.5419    7 1.44    6 
goe797   4.85 0.0919    5  54.84    7 -0.8088    2 1.64    2 
usa45   4.80 0.0982    4  46.17    5 -0.4470    8 1.47    5 
naca747a415   4.80 0.1236    2  33.98    2 -0.3725    9 1.24   10 
naca632615   4.80 0.0972    4  48.48    5 -0.7321    3 1.49    5 
marske5   4.80 0.1238    2  31.98    2 -0.0924   10 1.18   10 
goe510   4.80 0.0974    4  47.17    5 -0.5918    6 1.48    5 
e343   4.80 0.1022    4  45.41    5 -0.3943    9 1.51    5 
s8037   4.75 0.1043    3  38.71    3 -0.3950    9 1.34    8 
fx61140   4.75 0.1054    3  39.73    3 -0.5863    6 1.36    8 
fx60160   4.75 0.1117    3  39.40    3 -0.6982    3 1.36    8 
hq3015   4.70 0.0968    4  43.00    4 -0.5558    6 1.44    6 
goe647   4.70 0.0893    6  55.80    7 -0.6125    5 1.77    1 
